model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
847,sysml_model_0847,industrial,agent,B,data/000847/000847.sysml,data/000847/000847.txt,3,58.2,75.6,50.8,27.5,61,80.7,Simulation-Ready,100.0,62.5,71.3,88.0,90.8,100.0%,75.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
848,sysml_model_0848,industrial,agent,B,data/000848/000848.sysml,data/000848/000848.txt,4,67.2,84.1,68.2,25.9,67.9,74.4,Simulation-Ready,100.0,55.1,65.9,69.5,87.1,100.0%,72.8,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
849,sysml_model_0849,industrial,agent,B,data/000849/000849.sysml,data/000849/000849.txt,3,65.4,85.5,49.9,46,66.4,88.0,SENTINEL-Ready,100.0,80.8,79.1,90.0,94.8,99.5%,82.4,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
850,sysml_model_0850,industrial,agent,B,data/000850/000850.sysml,data/000850/000850.txt,4,68,81,60.1,47.6,71.3,87.6,SENTINEL-Ready,100.0,80.9,79.1,90.5,89.7,100.0%,82.7,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
851,sysml_model_0851,industrial,agent,B,data/000851/000851.sysml,data/000851/000851.txt,4,74.5,90.4,61.9,59.7,75.3,84.0,Simulation-Ready,95.0,75.0,79.1,96.0,72.9,100.0%,81.4,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
852,sysml_model_0852,automotive,agent,B,data/000852/000852.sysml,data/000852/000852.txt,3,57.1,58.8,63.4,36.7,60.5,89.2,SENTINEL-Ready,100.0,71.2,86.6,100.0,97.2,99.6%,81.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
853,sysml_model_0853,industrial,agent,B,data/000853/000853.sysml,data/000853/000853.txt,3,61.7,71.2,62.4,33.6,65.2,86.1,SENTINEL-Ready,100.0,66.1,85.7,93.0,91.5,99.6%,80.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
854,sysml_model_0854,industrial,agent,B,data/000854/000854.sysml,data/000854/000854.txt,3,63.8,79,45.5,51.8,69.9,91.9,SENTINEL-Ready,100.0,79.6,89.0,100.0,97.9,100.0%,84.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
855,sysml_model_0855,industrial,agent,B,data/000855/000855.sysml,data/000855/000855.txt,3,57.9,83.1,35.2,33.8,62.6,86.5,SENTINEL-Ready,100.0,75.1,72.9,100.0,94.8,100.0%,79.3,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
856,sysml_model_0856,industrial,agent,B,data/000856/000856.sysml,data/000856/000856.txt,4,66.6,83,58.1,35.9,71.9,87.3,SENTINEL-Ready,100.0,73.8,79.3,100.0,89.9,100.0%,82.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
857,sysml_model_0857,industrial,agent,A,data/000857/000857.sysml,data/000857/000857.txt,4,71.4,80.2,75.9,35.9,76.2,80.7,Simulation-Ready,97.5,68.5,70.7,82.5,91.4,100.0%,78.5,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
858,sysml_model_0858,industrial,agent,B,data/000858/000858.sysml,data/000858/000858.txt,4,71.3,84.9,74.8,27.9,75.5,82.9,Simulation-Ready,100.0,67.7,72.5,90.0,93.5,100.0%,80.0,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
859,sysml_model_0859,industrial,agent,B,data/000859/000859.sysml,data/000859/000859.txt,4,74.8,89.8,61.4,57.8,79,84.7,Simulation-Ready,100.0,74.9,72.9,94.9,84.7,99.5%,82.1,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
860,sysml_model_0860,industrial,agent,B,data/000860/000860.sysml,data/000860/000860.txt,4,71.1,84.3,69.4,38.3,75.1,92.6,SENTINEL-Ready,100.0,89.5,81.9,100.0,98.1,99.6%,87.2,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
861,sysml_model_0861,industrial,agent,B,data/000861/000861.sysml,data/000861/000861.txt,4,71.8,88.3,56.1,54.8,76.6,75.1,Simulation-Ready,90.0,54.7,68.4,88.0,86.0,99.2%,74.2,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
862,sysml_model_0862,industrial,agent,B,data/000862/000862.sysml,data/000862/000862.txt,4,71.1,81.8,61.7,56,75.9,89.5,SENTINEL-Ready,100.0,73.6,85.6,100.0,97.3,99.2%,84.9,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
863,sysml_model_0863,energy,agent,B,data/000863/000863.sysml,data/000863/000863.txt,4,70,91.2,47.7,61,70,94.4,SENTINEL-Ready,95.0,96.8,91.8,100.0,84.9,99.7%,88.1,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
864,sysml_model_0864,industrial,agent,B,data/000864/000864.sysml,data/000864/000864.txt,4,83.8,93,82.7,58.8,88,86.9,SENTINEL-Ready,100.0,68.0,84.3,95.0,95.6,99.4%,86.1,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
865,sysml_model_0865,industrial,agent,B,data/000865/000865.sysml,data/000865/000865.txt,4,76.1,88.6,63.7,63.8,79.9,94.0,SENTINEL-Ready,100.0,88.7,87.8,100.0,98.4,99.7%,89.5,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
866,sysml_model_0866,industrial,agent,B,data/000866/000866.sysml,data/000866/000866.txt,4,79.1,89.7,78.8,47.3,84.6,85.4,SENTINEL-Ready,100.0,66.3,76.9,100.0,96.2,100.0%,83.8,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
